Drug,CHEMBL,ATC
silicones,CHEMBL2108563,A03AX13
cefatrizine,CHEMBL1095284,J01DB07
"Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals",CHEMBL2108726,V09AA
urofollitropin,CHEMBL1201520,G03GA04
promethazine,CHEMBL1200750,D04AA10
pinacidil and diuretics,CHEMBL1200338,C02LX01
sargramostim,CHEMBL1201670,L03AA09
cilostazol,CHEMBL799,B01AC23
"emepronium, combinations",CHEMBL2106122,N05CX05
lanadelumab,CHEMBL3545189,B06AC05
androstanolone,CHEMBL27769,A14AA01
"Beta blocking agents, selective, thiazides and other diuretics",CHEMBL6995,C07DB
mefenorex,CHEMBL2106838,A08AA09
"BACTERIAL AND VIRAL VACCINES, COMBINED",CHEMBL2108875,J07C
emtricitabine,CHEMBL161381,J05AF09
aliskiren and amlodipine,CHEMBL1200984,C09XA53
imiquimod,CHEMBL1282,D06BB10
THYROID THERAPY DRUGS,CHEMBL2108878,H03
chloroform,CHEMBL44618,N01AB02
ciclonicate,CHEMBL2104521,C04AC07
"Sulfonamides (heterocyclic), blood glucose lowering drugs",CHEMBL1697838,A10BC
euflavine,CHEMBL2360628,D08AA03
"propyphenazone, combinations excl. psycholeptics",CHEMBL2296550,N02BB54
succinylsulfathiazole,CHEMBL1484857,A07AB04
hydrocortisone aceponate,CHEMBL2106309,D07AC16
"Hypnotics and sedatives in combination, excl. barbiturates",CHEMBL501613,N05CX
"morphine, combinations",CHEMBL2103744,N02AA51
phenylbutazone,CHEMBL101,M02AA01
flumetasone and antiinfectives,CHEMBL1201392,S02CA02
"isoniazid, sulfamethoxazole, trimethoprim and pyridoxine",CHEMBL64,J04AM08
levothyroxine sodium,CHEMBL2103741,H03AA01
betahistine,CHEMBL1446813,N07CA01
Other magnetic resonance imaging contrast media in ATC,CHEMBL1200866,V08CX
copper usnate,CHEMBL3707211,G01AX15
hexamidine,CHEMBL25105,S03AA05
Occupational Activity,CHEMBL670,T057
bosutinib,CHEMBL288441,L01XE14
xenon (127Xe) gas,CHEMBL1200673,V09EX02
theophylline,CHEMBL190,R03DA04
clobetasone,CHEMBL2308885,D07AB01
"emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat",CHEMBL1486,J05AR09
Protectives against UV-radiation for systemic use,CHEMBL441738,D02BB
pargyline and diuretics,CHEMBL673,C02LL01
trospium and analgesics,CHEMBL1888176,A03DA06
chloramphenicol,CHEMBL130,S03AA08
pyrrolnitrin,CHEMBL97972,D01AA07
axitinib,CHEMBL1289926,L01XE17
cinepazet,CHEMBL2110784,C01DX14
Antiinfectives,CHEMBL4,S03AA
Other antigout preparations in ATC,CHEMBL3527138,M04AX
Disease or Syndrome,CHEMBL3645269,T047
Corticosteroid nasal preparations for topical use,CHEMBL2108694,R01AD
mipomersen,CHEMBL2219536,C10AX11
"cholera, combinations with typhoid vaccine, inactivated, whole cell",CHEMBL2108939,J07AE51
SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,CHEMBL6966,C08D
