Drug,Class_ID,Classification
silicones,A03AX13,Drugs for functional gastrointestinal disorders
cefatrizine,J01DB07,Antibacterials for systemic use
"Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals",V09AA,Diagnostic radiopharmaceuticals
urofollitropin,G03GA04,Sex hormones and modulators of the genital system
promethazine,D04AA10,Antipruritics
pinacidil and diuretics,C02LX01,Antihypertensives
sargramostim,L03AA09,Immunostimulants
cilostazol,B01AC23,Antithrombotic agents
"emepronium, combinations",N05CX05,Psycholeptics
lanadelumab,B06AC05,Other hematological agents
androstanolone,A14AA01,Anabolic agents for systemic use
"Beta blocking agents, selective, thiazides and other diuretics",C07DB,Beta blocking agents
mefenorex,A08AA09,Antiobesity preparations
"BACTERIAL AND VIRAL VACCINES, COMBINED",J07C,Vaccines
emtricitabine,J05AF09,Antivirals for systemic use
aliskiren and amlodipine,C09XA53,Agents acting on the renin–angiotensin system
imiquimod,D06BB10,Antibiotics and chemotherapeutics for dermatological use
THYROID THERAPY DRUGS,H03,Thyroid therapy
chloroform,N01AB02,Anesthetics
ciclonicate,C04AC07,Peripheral vasodilators
"Sulfonamides (heterocyclic), blood glucose lowering drugs",A10BC,Drugs used in diabetes
euflavine,D08AA03,Antiseptics and disinfectants
"propyphenazone, combinations excl. psycholeptics",N02BB54,Analgesics
succinylsulfathiazole,A07AB04,Antidiarrheals
hydrocortisone aceponate,D07AC16,Corticosteroids
"Hypnotics and sedatives in combination, excl. barbiturates",N05CX,Psycholeptics
"morphine, combinations",N02AA51,Analgesics
phenylbutazone,M02AA01,Topical products for joint and muscular pain
flumetasone and antiinfectives,S02CA02,Otologicals
"isoniazid, sulfamethoxazole, trimethoprim and pyridoxine",J04AM08,Antimycobacterials
levothyroxine sodium,H03AA01,Thyroid therapy
betahistine,N07CA01,Other nervous system drugs
Other magnetic resonance imaging contrast media in ATC,V08CX,Contrast media
copper usnate,G01AX15,Gynecological antiinfectives and antiseptics
hexamidine,S03AA05,Ophthalmological and otological preparations
Occupational Activity,T057,NA
bosutinib,L01XE14,Antineoplastic agents
xenon (127Xe) gas,V09EX02,Diagnostic radiopharmaceuticals
theophylline,R03DA04,Drugs for obstructive airway diseases
clobetasone,D07AB01,Corticosteroids
"emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat",J05AR09,Antivirals for systemic use
ethulose,A06AC02,Drugs for constipation
Protectives against UV-radiation for systemic use,D02BB,Emollients and protectives
pargyline and diuretics,C02LL01,Antihypertensives
trospium and analgesics,A03DA06,Drugs for functional gastrointestinal disorders
chloramphenicol,S03AA08,Ophthalmological and otological preparations
pyrrolnitrin,D01AA07,Antifungals for dermatological use
axitinib,L01XE17,Antineoplastic agents
cinepazet,C01DX14,Cardiac therapy
Antiinfectives,S03AA,Ophthalmological and otological preparations
Other antigout preparations in ATC,M04AX,Antigout preparations
Disease or Syndrome,T047,NA
Corticosteroid nasal preparations for topical use,R01AD,Nasal preparations
mipomersen,C10AX11,Lipid modifying agents
"cholera, combinations with typhoid vaccine, inactivated, whole cell",J07AE51,Vaccines
SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,C08D,Calcium channel blockers
bismuth subcitrate,A02BX05,Drugs for acid related disorders
"attapulgite, combinations",A07BC54,Antidiarrheals
trimethyldiphenylpropylamine,A03AX30,Drugs for functional gastrointestinal disorders
CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01D,Antineoplastic agents
"multienzymes (lipase, protease etc.)",A09AA02,Digestives
norgestimate and ethinylestradiol,G03AA11,Sex hormones and modulators of the genital system
polidocanol,C05BB02,Vasoprotectives
buspirone,N05BE01,Psycholeptics
temocillin,J01CA17,Antibacterials for systemic use
Nitroferricyanide derivatives acting on arteriolar smooth muscle,C02DD,Antihypertensives
Salt irrigating solutions,B05CB,Blood substitutes and perfusion solutions
iodine (131I) human albumin,V09XA03,Diagnostic radiopharmaceuticals
"Carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",S01EC,Ophthalmologicals
itramin tosilate,C01DX01,Cardiac therapy
dapoxetine,G04BX14,Urologicals
aclidinium bromide,R03BB05,Drugs for obstructive airway diseases
losartan and amlodipine,C09DB06,Agents acting on the renin–angiotensin system
magnesium peroxide,A02AA03,Drugs for acid related disorders
"diprophylline, combinations",R03DA51,Drugs for obstructive airway diseases
Substance,T167,NA
methoxsalen,D05BA02,Antipsoriatics
"mercury, metallic",D08AK05,Antiseptics and disinfectants
"Guanine derivatives, peripherally acting antiadrenergic agents",C02CC,Antihypertensives
"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",C02D,Antihypertensives
megestrol,L02AB01,Endocrine therapy
nicomorphine,N02AA04,Analgesics
Ethers for general anesthesia,N01AA,Anesthetics
technetium (99mTc) mertiatide,V09CA03,Diagnostic radiopharmaceuticals
cilazapril,C09AA08,Agents acting on the renin–angiotensin system
bifonazole,D01AC10,Antifungals for dermatological use
candesartan,C09CA06,Agents acting on the renin–angiotensin system
sulglicotide,A02BX08,Drugs for acid related disorders
labetalol and thiazides,C07BG01,Beta blocking agents
esketamine,N01AX14,Anesthetics
rhenium (186Re) etidronic acid,V10BX03,Therapeutic radiopharmaceuticals
hemoglobin raffimer,B05AA09,Blood substitutes and perfusion solutions
mirabegron,G04BD12,Urologicals
